 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: example5
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    122   1           -3.61453235e+001    4.83968388e+001    8.45421623e+001 
    123   1           -1.95305367e+001    5.52547393e+001    7.47852760e+001 
    124   0            6.18798011e+000    5.98237621e+001    5.36357820e+001 
    125   1           -8.21851167e+000    5.30141931e+001    6.12327048e+001 
    126   1           -1.34374663e+001    5.15699507e+001    6.50074169e+001 
    127   0            4.33635721e+000    5.98141855e+001    5.54778283e+001 
    128   1           -1.75360544e+001    5.09317755e+001    6.84678299e+001 
    129   1           -3.63015617e+001    6.03496133e+001    9.66511750e+001 
    130   1           -1.23704625e+001    5.52345058e+001    6.76049683e+001 
    131   1           -4.31269178e+001    6.91939581e+001    1.12320876e+002 
    132   1           -2.78505683e+000    5.38886560e+001    5.66737128e+001 
    133   1           -1.01610592e+001    5.47859334e+001    6.49469926e+001 
    134   1           -1.20882016e+001    5.21401403e+001    6.42283419e+001 
    135   1           -2.24805003e+001    5.66573200e+001    7.91378202e+001 
    136   1           -2.96387515e+001    5.61902263e+001    8.58289779e+001 
    137   1           -9.99461120e+000    5.09842450e+001    6.09788561e+001 
    138   0            8.17280019e-001    5.79682630e+001    5.71509830e+001 
    139   1           -1.74106611e+001    4.60398335e+001    6.34504945e+001 
    140   0            3.69019726e+000    5.34468101e+001    4.97566129e+001 
    141   1           -4.71322227e+001    5.77642394e+001    1.04896462e+002 
    142   0            5.56510874e+000    5.43038858e+001    4.87387771e+001 
    143   1           -1.26623707e+001    5.92494156e+001    7.19117862e+001 
    144   1           -1.56532414e+001    5.61264907e+001    7.17797321e+001 
    145   1           -4.22720083e+001    5.28181974e+001    9.50902057e+001 
    146   1           -2.41226030e+001    5.03769700e+001    7.44995730e+001 
    147   1           -3.27756415e+001    5.24316014e+001    8.52072429e+001 
    148   1           -1.46672092e+001    5.42897208e+001    6.89569301e+001 
    149   1           -3.46918771e+001    5.32433988e+001    8.79352759e+001 
    150   1           -1.32764014e+001    5.34279116e+001    6.67043130e+001 
    151   1           -1.65721879e+001    5.98525156e+001    7.64247035e+001 
    152   1           -1.59309073e+001    5.51658058e+001    7.10967131e+001 
    153   1           -2.40231051e+000    6.02443177e+001    6.26466282e+001 
    154   1           -3.85341995e+001    4.79468084e+001    8.64810080e+001 
    155   1           -2.02290505e+001    4.83900326e+001    6.86190831e+001 
    156   1           -1.75775494e+001    5.04073468e+001    6.79848962e+001 
    157   1           -2.62749336e+001    5.81397476e+001    8.44146812e+001 
    158   0            6.23374947e+000    5.56919652e+001    4.94582157e+001 
    159   0            2.23638561e+000    5.70668257e+001    5.48304401e+001 
    160   0            6.27985121e+000    5.19668482e+001    4.56869970e+001 
    161   1           -2.09824791e+001    5.77188919e+001    7.87013710e+001 
    162   1           -3.88333483e+000    4.63855636e+001    5.02688984e+001 
    163   1           -1.37869708e+001    4.53051220e+001    5.90920928e+001 
    164   0            9.41921695e+000    5.12994446e+001    4.18802276e+001 
    165   1           -5.06636254e+000    5.39403164e+001    5.90066790e+001 
    166   1           -1.32257321e+001    5.37439037e+001    6.69696358e+001 
    167   1           -2.85121323e+001    4.95249241e+001    7.80370563e+001 
    168   1           -1.05837517e+001    5.36975670e+001    6.42813187e+001 
    169   1           -2.14659651e+001    4.82254410e+001    6.96914061e+001 
    170   1           -1.91522152e+001    6.19648269e+001    8.11170421e+001 
    171   0            5.91687016e-001    6.48452205e+001    6.42535335e+001 
    172   1           -1.89105064e+001    5.76213911e+001    7.65318975e+001 
    173   1           -1.06275719e+001    5.63156853e+001    6.69432571e+001 
    174   1           -1.13902859e+001    5.38174406e+001    6.52077265e+001 
    175   1           -2.05024575e+001    5.39819485e+001    7.44844060e+001 
    176   1           -3.84846698e+001    5.55829102e+001    9.40675799e+001 
    177   0            1.01438429e+001    6.02805719e+001    5.01367290e+001 
    178   1           -9.22364884e+000    5.48596513e+001    6.40833001e+001 
    179   1           -2.97741032e+001    5.15201532e+001    8.12942564e+001 
    180   1           -1.37703657e+001    6.01446410e+001    7.39150066e+001 
    181   1           -6.25321191e+001    4.50892512e+001    1.07621370e+002 
    182   1           -3.03767999e+001    5.65416397e+001    8.69184396e+001 
    183   1           -5.11063217e-001    6.03001645e+001    6.08112277e+001 
    184   1           -3.52774693e+000    5.89328609e+001    6.24606078e+001 
    185   0            6.89077954e+000    5.60754703e+001    4.91846907e+001 
    186   1           -3.04286369e+001    5.70982655e+001    8.75269024e+001 
    187   1           -2.47513541e+001    6.09334363e+001    8.56847903e+001 
    188   0            9.71833165e+000    5.09308583e+001    4.12125267e+001 
    189   1           -6.20099584e+000    6.05059239e+001    6.67069197e+001 
    190   1           -1.79590084e+001    4.81256017e+001    6.60846102e+001 
    191   1           -1.66273810e+000    6.05240106e+001    6.21867487e+001 
    192   1           -5.36016556e+000    5.50437595e+001    6.04039250e+001 
    193   1           -1.27209341e+001    5.80020839e+001    7.07230181e+001 
    194   1           -2.31243157e+001    4.91709730e+001    7.22952887e+001 
    195   1           -1.34901692e+000    5.90970063e+001    6.04460232e+001 
    196   1           -8.08380567e+000    6.02987422e+001    6.83825479e+001 
    197   1           -9.64861497e+000    5.25527293e+001    6.22013443e+001 
    198   1           -3.39639052e+001    5.09450490e+001    8.49089542e+001 
    199   1           -1.38819719e+001    5.85934040e+001    7.24753759e+001 
    200   0            1.06903322e+001    5.82964538e+001    4.76061216e+001 
    201   0            1.11849375e+001    5.96435079e+001    4.84585704e+001 
    202   0            1.81915622e+001    6.09850322e+001    4.27934700e+001 
    203   1           -2.95810970e+000    6.17645263e+001    6.47226360e+001 
    204   1           -1.57694311e+001    5.49449766e+001    7.07144077e+001 
    205   1           -1.90880558e+001    4.60955478e+001    6.51836036e+001 
    206   1           -6.22049807e+000    6.27920685e+001    6.90125666e+001 
    207   1           -1.28267317e+001    4.75169190e+001    6.03436507e+001 
    208   0            9.67097755e+000    5.40961736e+001    4.44251961e+001 
    209   1           -8.10514308e+000    4.35499611e+001    5.16551042e+001 
    210   1           -6.25122620e+000    5.59985770e+001    6.22498032e+001 
    211   1           -1.76834011e+000    6.72753987e+001    6.90437388e+001 
    212   0            7.97110456e+000    5.99540881e+001    5.19829835e+001 
    213   0            7.06262737e+000    5.28072816e+001    4.57446542e+001 
