 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 (20040305)
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 1269965289 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
    217   1           -2.55535728e+001    4.35135880e+001    6.90671608e+001 
    218   1           -2.78923432e+001    5.01632784e+001    7.80556216e+001 
    219   1           -1.19933901e+001    5.39667565e+001    6.59601465e+001 
    220   1           -1.77649098e+001    5.67325493e+001    7.44974590e+001 
    221   1           -1.70155393e+001    6.21192739e+001    7.91348132e+001 
    222   0            7.48403487e-001    5.95860993e+001    5.88376958e+001 
    223   0            9.98792037e+000    5.53237175e+001    4.53357971e+001 
    224   1           -2.86095413e+001    4.76429818e+001    7.62525231e+001 
    225   1           -7.24063411e+000    5.58172669e+001    6.30579010e+001 
    226   1           -3.45850138e+001    5.39028890e+001    8.84879028e+001 
    227   1           -2.59008500e+001    5.32436803e+001    7.91445303e+001 
    228   0            4.78573127e-001    5.35695665e+001    5.30909933e+001 
    229   1           -1.95343411e+001    5.26903710e+001    7.22247121e+001 
    230   1           -8.32408755e+000    5.88974070e+001    6.72214946e+001 
    231   1           -2.68676078e+001    6.04742013e+001    8.73418090e+001 
    232   1           -3.81151181e+001    4.77364326e+001    8.58515507e+001 
    233   1           -4.69223162e+000    5.03360916e+001    5.50283232e+001 
    234   1           -2.89632440e+000    6.32053483e+001    6.61016727e+001 
    235   1           -2.13603534e+000    5.38931480e+001    5.60291834e+001 
    236   1           -4.53145670e+001    4.50646940e+001    9.03792610e+001 
    237   1           -4.13707961e-001    5.69761321e+001    5.73898401e+001 
    238   1           -2.42917266e+001    5.56334821e+001    7.99252088e+001 
    239   1           -1.19522080e+001    4.92896418e+001    6.12418498e+001 
    240   1           -1.59746123e+001    5.77266963e+001    7.37013086e+001 
    241   1           -2.92479159e+001    5.65520292e+001    8.57999451e+001 
    242   1           -1.30944988e+001    5.20852078e+001    6.51797066e+001 
    243   1           -8.72758776e-001    4.37655661e+001    4.46383249e+001 
    244   1           -2.74680943e+001    5.26153520e+001    8.00834463e+001 
    245   0            9.25360210e-001    5.81549550e+001    5.72295948e+001 
    246   0            6.19199512e+000    5.63516377e+001    5.01596426e+001 
    247   1           -5.49440764e-001    5.08816599e+001    5.14311007e+001 
    248   1           -3.04401235e+001    5.60568010e+001    8.64969245e+001 
    249   0            4.39229586e+000    6.59498137e+001    6.15575179e+001 
    250   0            3.81570158e+000    4.83137356e+001    4.44980340e+001 
    251   1           -1.96503588e+001    5.65186549e+001    7.61690137e+001 
    252   1           -1.32937946e+001    6.10601182e+001    7.43539128e+001 
    253   1           -3.32513800e+001    5.97580649e+001    9.30094449e+001 
    254   1           -1.02088158e+001    6.16213436e+001    7.18301593e+001 
    255   0            4.08514171e+000    5.47989776e+001    5.07138359e+001 
    256   1           -4.16285054e+001    5.34155342e+001    9.50440396e+001 
    257   1           -1.75384897e+001    6.00634160e+001    7.76019057e+001 
    258   1           -1.04581273e+001    5.70750073e+001    6.75331346e+001 
    259   1           -1.98918584e+001    6.30416373e+001    8.29334957e+001 
    260   1           -1.63347180e+001    5.20463885e+001    6.83811064e+001 
    261   0            7.36797376e-002    5.85051301e+001    5.84314503e+001 
    262   1           -1.21577771e+000    5.63115471e+001    5.75273248e+001 
    263   0            1.18282534e+001    5.97219709e+001    4.78937174e+001 
    264   0            6.40734847e+000    5.49347730e+001    4.85274245e+001 
    265   1           -1.47815336e+001    4.72500210e+001    6.20315546e+001 
    266   1           -6.83769124e+000    5.54108428e+001    6.22485341e+001 
    267   1           -7.50001009e+000    4.70857093e+001    5.45857194e+001 
    268   1           -1.52571963e+001    4.69224307e+001    6.21796270e+001 
    269   1           -1.81963785e+001    5.60287797e+001    7.42251583e+001 
    270   1           -1.41157244e+001    5.75114150e+001    7.16271394e+001 
    271   0            1.44889863e+001    6.27190902e+001    4.82301039e+001 
    272   1           -1.55867789e+001    4.94230147e+001    6.50097936e+001 
    273   1           -1.55351909e+001    5.68348923e+001    7.23700833e+001 
    274   1           -1.29723137e+001    4.95611526e+001    6.25334663e+001 
    275   1           -1.40176138e+001    5.41655893e+001    6.81832031e+001 
    276   0            1.08407704e+001    5.69874852e+001    4.61467149e+001 
    277   1           -6.45346041e+001    5.43271751e+001    1.18861779e+002 
    278   1           -1.29678757e+001    5.68283498e+001    6.97962255e+001 
    279   1           -8.94739914e-001    6.28906549e+001    6.37853948e+001 
    280   1           -8.85867221e+000    4.80532688e+001    5.69119410e+001 
    281   1           -2.86510480e+001    4.72149766e+001    7.58660246e+001 
    282   1           -7.06054832e+000    5.30086935e+001    6.00692418e+001 
    283   0            3.20003305e+000    5.77522424e+001    5.45522093e+001 
    284   1           -3.33315964e+001    4.90329226e+001    8.23645190e+001 
    285   0            7.82648199e+000    5.38992480e+001    4.60727660e+001 
    286   1           -1.49764336e+001    4.79567625e+001    6.29331961e+001 
    287   1           -9.32426332e+000    5.19596416e+001    6.12839049e+001 
    288   0            1.04610394e+001    5.65085493e+001    4.60475099e+001 
    289   1           -1.57267102e+001    5.84568034e+001    7.41835136e+001 
    290   1           -2.20422648e+001    5.47100567e+001    7.67523215e+001 
    291   1           -1.26435448e+001    5.26466992e+001    6.52902440e+001 
    292   0            8.35282135e+000    5.89649402e+001    5.06121188e+001 
    293   1           -3.08770199e+001    5.50292047e+001    8.59062247e+001 
    294   1           -2.34899477e+001    5.10727495e+001    7.45626972e+001 
    295   1           -2.94495356e+001    5.16276645e+001    8.10772001e+001 
    296   1           -2.01791454e+000    5.28380990e+001    5.48560136e+001 
    297   1           -1.88573639e+001    5.65511205e+001    7.54084844e+001 
    298   0            2.23702100e+000    5.33389569e+001    5.11019359e+001 
    299   1           -5.55398164e+001    5.74331136e+001    1.12972930e+002 
    300   0            1.45345524e+001    6.28130531e+001    4.82785007e+001 
    301   1           -3.22149194e+001    4.78875623e+001    8.01024817e+001 
    302   1           -1.00353519e+001    5.83818888e+001    6.84172408e+001 
    303   1           -2.44763590e+001    4.42078779e+001    6.86842369e+001 
    304   1           -5.11639058e+000    5.82913994e+001    6.34077900e+001 
    305   0            9.72930808e+000    5.98710852e+001    5.01417771e+001 
    306   1           -3.74120747e+000    5.13234125e+001    5.50646200e+001 
    307   0            3.29712234e+000    6.51974884e+001    6.19003661e+001 
    308   0            2.95718922e+000    5.41328270e+001    5.11756378e+001 
    309   1           -2.72418463e+001    5.65722320e+001    8.38140783e+001 
    310   1           -2.72653190e+001    5.03766140e+001    7.76419330e+001 
    311   0            2.54752819e+000    4.74413366e+001    4.48938084e+001 
    312   1           -1.39574538e+001    6.43912916e+001    7.83487454e+001 
    313   1           -4.59126572e+001    5.62526828e+001    1.02165340e+002 
    314   1           -1.87002152e+001    4.95664651e+001    6.82666803e+001 
    315   1           -3.20930070e+001    5.70866401e+001    8.91796471e+001 
    316   1           -9.02512573e+000    6.04843822e+001    6.95095079e+001 
    317   1           -5.26021774e+001    5.07280953e+001    1.03330273e+002 
    318   0            1.90711824e+001    6.31655098e+001    4.40943274e+001 
    319   0            4.09038978e+000    6.19731696e+001    5.78827798e+001 
    320   1           -1.59557365e+001    5.42743054e+001    7.02300419e+001 
    321   1           -6.49360349e+000    6.00904665e+001    6.65840700e+001 
    322   1           -2.56028133e+001    5.38439254e+001    7.94467387e+001 
    323   0            2.34064108e-001    5.89334447e+001    5.86993806e+001 
    324   1           -3.30311089e+001    5.06177915e+001    8.36489004e+001 
    325   1           -1.51204233e+001    5.25239453e+001    6.76443686e+001 
    326   1           -4.31938688e+001    5.36117481e+001    9.68056169e+001 
    327   1           -8.08145227e+000    5.25538776e+001    6.06353299e+001 
    328   1           -6.05382953e+000    5.85391376e+001    6.45929671e+001 
    329   1           -1.44808103e+001    4.68418460e+001    6.13226563e+001 
    330   1           -3.23528108e+001    4.99666420e+001    8.23194528e+001 
