 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
     97   1           -1.63969759e+001    5.84689820e+001    7.48659579e+001 
     98   1           -2.17255835e+001    5.01595094e+001    7.18850929e+001 
     99   0            7.05442972e+000    5.64782723e+001    4.94238425e+001 
    100   1           -2.71239252e+001    5.78956231e+001    8.50195483e+001 
    101   1           -1.87093340e+001    4.83375762e+001    6.70469102e+001 
    102   1           -1.80035991e+001    5.06015952e+001    6.86051943e+001 
    103   1           -6.23839000e+000    5.11114003e+001    5.73497903e+001 
    104   1           -2.71081241e+001    5.32028548e+001    8.03109790e+001 
    105   1           -4.69196820e+000    5.34268022e+001    5.81187704e+001 
    106   1           -1.52439023e+000    5.19630637e+001    5.34874539e+001 
    107   1           -2.61827869e+001    4.84426163e+001    7.46254032e+001 
    108   0            1.26366974e+001    5.40081820e+001    4.13714846e+001 
    109   1           -9.51961652e+000    5.74148245e+001    6.69344410e+001 
    110   1           -7.96502016e+000    5.22345391e+001    6.01995593e+001 
    111   1           -5.11541290e+000    5.07210039e+001    5.58364168e+001 
    112   0            1.22962174e+001    6.20008212e+001    4.97046038e+001 
    113   1           -1.53662355e+001    5.47147686e+001    7.00810041e+001 
    114   1           -5.49710646e+001    6.12575587e+001    1.16228623e+002 
    115   1           -3.86461126e+001    5.27317480e+001    9.13778605e+001 
    116   1           -4.01123174e+001    5.78715383e+001    9.79838557e+001 
    117   0            4.21915391e+000    5.32961215e+001    4.90769675e+001 
    118   1           -2.02321699e+001    5.65458180e+001    7.67779879e+001 
    119   1           -1.16678740e+001    5.66146818e+001    6.82825558e+001 
    120   1           -3.35909615e+001    5.17058928e+001    8.52968542e+001 
    121   1           -8.74981856e+000    5.17554797e+001    6.05052983e+001 
    122   1           -3.82364840e+001    4.83968388e+001    8.66333228e+001 
    123   1           -2.13803595e+001    5.52547393e+001    7.66350988e+001 
    124   0            4.86129261e+000    5.98237621e+001    5.49624695e+001 
    125   1           -9.73310997e+000    5.30141931e+001    6.27473031e+001 
    126   1           -1.50454325e+001    5.15699507e+001    6.66153832e+001 
    127   0            2.96410647e+000    5.98141855e+001    5.68500791e+001 
    128   1           -1.92296144e+001    5.09317755e+001    7.01613899e+001 
